date,predicted_revenue
2018-12-31,4123.901393497645
2019-01-01,5296.5671133933965
2019-01-02,6750.046327797851
2019-01-03,3514.9236178251795
2019-01-04,3483.5669380072904
2019-01-05,1898.496543777776
2019-01-06,978.6781794111589
2019-01-07,2885.1600066228484
2019-01-08,5527.203734728121
2019-01-09,4312.851860280183
2019-01-10,3074.4150404497473
2019-01-11,2584.3662847071787
2019-01-12,1246.5106525275148
2019-01-13,3234.965176750962
2019-01-14,2598.862759958637
2019-01-15,2746.43564674072
2019-01-16,3178.0939817002263
2019-01-17,3528.4636234069294
2019-01-18,2071.417002874975
2019-01-19,1152.8005039220104
2019-01-20,2655.7684647203446
2019-01-21,4899.533022728161
2019-01-22,3090.854171173753
2019-01-23,3969.6280743080238
2019-01-24,2938.434307705151
2019-01-25,1626.857321243934
2019-01-26,826.7645744724174
2019-01-27,2267.5389348000976
2019-01-28,3544.224885683309
2019-01-29,2427.903763189292
