daily_revenue,day_of_week,month,year,quarter,day_of_year,day_of_week_sin,day_of_week_cos,month_sin,month_cos,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30
638.98,6,1,2021,1,31,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,685.05,797.35,565.83,607.4414285714286,607.403
398.21,0,2,2021,1,32,0.0,1.0,0.8660254037844386,0.5000000000000001,638.98,491.83,721.3,584.8171428571428,609.8413333333333
442.69,1,2,2021,1,33,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,398.21,602.38,648.92,571.4428571428572,599.0716666666666
512.65,2,2,2021,1,34,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,442.69,571.67,567.14,548.63,592.1973333333334
477.07,3,2,2021,1,35,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,512.65,538.38,535.48,540.1985714285714,590.381
452.72,4,2,2021,1,36,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,477.07,565.43,549.79,531.4399999999999,588.434
682.28,5,2,2021,1,37,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,452.72,685.05,515.24,515.3385714285714,585.1983333333334
730.13,6,2,2021,1,38,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,682.28,638.98,519.83,514.9428571428572,590.7663333333333
568.19,0,2,2021,1,39,0.0,1.0,0.8660254037844386,0.5000000000000001,730.13,398.21,680.04,527.9642857142857,597.7763333333334
487.42,1,2,2021,1,40,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,568.19,442.69,715.11,552.2471428571429,594.048
502.39,2,2,2021,1,41,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,487.42,512.65,621.92,558.6371428571429,586.4583333333334
523.86,3,2,2021,1,42,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,502.39,477.07,569.76,557.1714285714286,582.474
561.65,4,2,2021,1,43,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,523.86,452.72,548.7,563.8557142857143,580.944
561.11,5,2,2021,1,44,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,561.65,682.28,561.43,579.4171428571428,581.3756666666666
653.38,6,2,2021,1,45,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,561.11,730.13,602.19,562.1071428571429,581.3649999999999
549.64,0,2,2021,1,46,0.0,1.0,0.8660254037844386,0.5000000000000001,653.38,568.19,827.49,551.1428571428571,583.0713333333333
519.16,1,2,2021,1,47,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,549.64,487.42,666.76,548.4928571428571,573.8096666666667
434.29,2,2,2021,1,48,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,519.16,502.39,608.31,553.0271428571428,568.8896666666666
488.27,3,2,2021,1,49,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,434.29,523.86,562.98,543.2985714285714,563.0889999999999
495.19,4,2,2021,1,50,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,488.27,561.65,511.51,538.2142857142857,560.5986666666666
702.91,5,2,2021,1,51,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,495.19,561.11,581.41,528.72,560.0546666666667
658.73,6,2,2021,1,52,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,702.91,653.38,569.86,548.9771428571429,564.1046666666666
473.18,0,2,2021,1,53,0.0,1.0,0.8660254037844386,0.5000000000000001,658.73,549.64,719.0,549.7414285714286,567.0669999999999
570.86,1,2,2021,1,54,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,473.18,519.16,797.35,538.8185714285714,558.8729999999999
424.65,2,2,2021,1,55,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,570.86,434.29,491.83,546.2042857142857,551.3233333333334
465.66,3,2,2021,1,56,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,424.65,488.27,602.38,544.8271428571428,549.0840000000001
566.11,4,2,2021,1,57,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,465.66,495.19,571.67,541.5971428571428,544.5266666666668
767.01,5,2,2021,1,58,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,566.11,702.91,538.38,551.7285714285714,544.3413333333333
682.46,6,2,2021,1,59,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,767.01,658.73,565.43,560.8857142857142,551.9623333333333
